Date,Link,USDC
2018-10-24,-0.052442903,0.001205303
2018-10-25,0.06444674,0.006603326
2018-10-26,-0.020399409,-0.004397369
2018-10-27,0.026803823,-0.004416791
2018-10-28,-0.019802627,-0.002417406
2018-10-29,-0.00559703,0.035856074
2018-10-30,0.073907498,-0.003508776
2018-10-31,0.114011089,-0.009614515
2018-11-01,0.0061824,-0.002171125
2018-11-02,-0.037681067,-0.009928596
2018-11-03,0.084708728,0.005373682
2018-11-04,-0.128033853,-0.058654056
2018-11-05,-0.041361683,0.008175289
2018-11-06,-0.034998035,-0.045705157
2018-11-07,-0.000450958,0.007619499
2018-11-08,0.055277229,0.028857405
2018-11-09,0.011457796,0.012771031
2018-11-10,0.036864808,-0.011297191
2018-11-11,-0.016814011,0.000210371
2018-11-12,0.099512182,0.005244951
2018-11-13,0.052154025,0.029280442
2018-11-14,0.083154149,0.133709186
2018-11-15,-0.016485701,-0.000711364
2018-11-16,-0.017776755,0.031693102
2018-11-17,-0.05423644,0.001205753
2018-11-18,0.05254296,-0.01999545
2018-11-19,-0.063318926,0.18614867
2018-11-20,-0.060286109,0.130483305
2018-11-21,0.029852963,-0.052809748
2018-11-22,0.00667906,0.091587428
2018-11-23,-0.012653686,0.015632951
2018-11-24,-0.065387821,0.095288146
2018-11-25,-0.112002097,-0.034406935
2018-11-26,0.159630146,0.06478792
2018-11-27,0.0019044,-0.012799314
2018-11-28,0.024803977,-0.114446435
2018-11-29,0.085339602,0.04682892
2018-11-30,-0.027995607,0.033708498
2018-12-01,-0.01483078,-0.042666733
2018-12-02,-0.031438904,0.015998486
2018-12-03,-0.029430323,0.070058051
2018-12-04,-0.009496748,-0.012190668
2018-12-05,-0.044087499,0.077258483
2018-12-06,-0.034493174,0.118932224
2018-12-07,-0.045183958,-0.033563241
2018-12-08,0.066830708,0.025502293
2018-12-09,0.015236863,-0.035701732
2018-12-10,-0.044343242,0.044654343
2018-12-11,0.046727981,0.025518323
2018-12-12,-0.006371985,-0.022848094
2018-12-13,-0.049549542,0.040928655
2018-12-14,0.015413761,0.027767876
2018-12-15,-0.003727484,0
2018-12-16,0.006617063,-0.009170552
2018-12-17,0.009435967,-0.113395689
2018-12-18,0.093489599,-0.069126893
2018-12-19,0.092296753,0.012189181
2018-12-20,-0.008171649,-0.144056154
2018-12-21,-0.0726626,0.064294771
2018-12-22,-0.014815086,-0.07443895
2018-12-23,-0.114105106,-0.111028009
2018-12-24,-0.08826687,-0.070668092
2018-12-25,0.125619868,0.077892066
2018-12-26,-0.063625696,-0.014109353
2018-12-27,0.008976337,0.130920766
2018-12-28,-0.096417175,-0.182550311
2018-12-29,0.010720215,0.021456554
2018-12-30,-0.007445358,-0.031943748
2018-12-31,0.016674773,0.05767461
2019-01-01,-0.020418343,-0.064913957
2019-01-02,-0.045069948,-0.091683955
2019-01-03,0.195799069,0.037570159
2019-01-04,0.13941125,-0.039716411
2019-01-05,-0.115899507,-0.005385871
2019-01-06,-0.013481568,-0.011171567
2019-01-07,-0.003198723,0.03570987
2019-01-08,0.130824488,0.013459153
2019-01-09,-0.061591357,-0.007454932
2019-01-10,0.033079091,0.167698548
2019-01-11,0.234789143,0.006936152
2019-01-12,-0.068319244,0.008634227
2019-01-13,0.140812747,0.077182519
2019-01-14,0.001594049,-0.108440996
2019-01-15,0.128841623,0.068675728
2019-01-16,-0.056156788,-0.017311733
2019-01-17,-0.036193948,-0.005387548
2019-01-18,0.054538599,0.026771631
2019-01-19,-0.048414568,-0.031447987
2019-01-20,0.044529182,0.049805819
2019-01-21,0.048210689,0.013984612
2019-01-22,0.051733726,-0.019515665
2019-01-23,-0.047568981,0.012547805
2019-01-24,-0.004860558,0.001746522
2019-01-25,-0.045084741,0.010415555
2019-01-26,-0.017877297,0.000460405
2019-01-27,-0.050682242,0.030932053
2019-01-28,0.013426486,0.058186806
2019-01-29,0.102998148,0.011200201
2019-01-30,-0.099669506,-0.033230571
2019-01-31,-0.078127365,0.017916657
2019-02-01,0.073772292,-0.001480855
2019-02-02,-0.035806778,-0.033365127
2019-02-03,-0.015013687,0.032411989
2019-02-04,-0.008681552,-0.000847997
2019-02-05,0.068447764,0.001059884
