date,open,high,low,close,volumefrom,volumeto,supply,market_cap,price_log_return,volumefrom_log_return,market_cap_log_return,volatility_5d,volatility_10d,volatility_30d,volatility_5d_log_return,volatility_10d_log_return,volatility_30d_log_return
2020-08-07,11771.27,11912.62,11350.42,11603.82,55865.16,651142052.53,18454358.544971,214141054771.3054,-0.014327462649197317,0.11258210860063836,-0.014275982970250813,0.024328003624828592,0.03171005814395868,0.027333095415365063,-0.5352030639265174,0.008877686895301136,0.00766893084628837
2020-08-08,11603.82,11811.4,11534.87,11770.77,23238.62,271582305.12,18455246.044971,217232456488.7633,0.01428498544670537,-0.8771253802004882,0.014333075910422441,0.024268444131668496,0.031646293318110745,0.02683010869959148,-0.0024511883370402533,-0.002012895184345266,-0.018573538393287892
2020-08-09,11770.77,11802.93,11533.93,11686.34,19874.64,231830330.42,18456221.044971,215685674246.6864,-0.007198701340934351,-0.15637100267316623,-0.007145872229707161,0.02479317669581713,0.031875435930441245,0.026971491093599028,0.021391571045436476,0.0072146526541262985,0.005255706893286851
2020-08-10,11686.34,12074.31,11640.41,11897.41,56105.27,667803525.71,18457077.294971,219591415979.96094,0.01790009101793472,1.0377852003417591,0.017946483512708215,0.013729695623395108,0.03170122564178265,0.02691529851474871,-0.5910074312732896,-0.005480335719765523,-0.002085579772959843
2020-08-11,11897.41,11940.4,11138.6,11389.01,62677.5,724227264.93,18458039.794971,210218799805.32266,-0.043671874038058986,0.11077278405100244,-0.04361972737966587,0.024853737195741257,0.0324254510178632,0.0285489431395353,0.5934470805974693,0.02258829576305313,0.05892507456777879
2020-08-12,11389.01,11621.05,11182.8,11570.19,37568.86,430758054.54,18459021.044971,213574380704.31302,0.015783107519173126,-0.5118270157951184,0.015836267222459694,0.026129244432506357,0.024390900857606257,0.028476900179484038,0.05004703199894124,-0.28473349260055497,-0.0025266789296116803
2020-08-13,11570.19,11795.34,11284.57,11790.68,42205.26,487564726.98,18459939.794971,217655242941.76868,0.01887742603147446,0.11636934205779725,0.018927197204838472,0.026853117066391846,0.024589890676073596,0.028530827827340257,0.027326742670119412,0.00812526327196456,0.0018919422270497306
2020-08-14,11790.68,11863.43,11657.2,11774.52,37248.83,437825096.08,18460983.544971,217369219969.93195,-0.001371514142307202,-0.12492432288793279,-0.0013149743862091404,0.02656919654149021,0.02451436545326644,0.02845014028366213,-0.010629386072021517,-0.003076119600022904,-0.0028320893899879116
2020-08-15,11774.52,11981.62,11697.88,11860.91,31094.75,369258184.57,18461958.544971,218975628725.632,0.007310244384872174,-0.18058154029057122,0.007363057077742079,0.025328486017710698,0.019275076859986126,0.028313799540042293,-0.047822828098920696,-0.2404463837595212,-0.004803789385687152
2020-08-16,11860.91,11934.96,11701.22,11917.97,22029.01,260716863.02,18462908.544971,220040390151.708,0.004799225995490843,-0.34467877356118903,0.0048506818340666846,0.008240333968983278,0.019314016201188822,0.02830009663818911,-1.1228888185874921,0.00201815338636974,-0.00048408263856748734
2020-08-17,11917.97,12474.73,11775.66,12301.19,56064.01,682170133.05,18463689.794971,227125356268.99933,0.03164866054532235,0.9341338525969405,0.031690974218134924,0.013092857152353785,0.02062461964639302,0.028573483795687027,0.46302595263926016,0.06565443028796406,0.00961392833436397
2020-08-18,12301.19,12397.4,11855.24,11956.69,49904.68,604246043.52,18464564.794971,220775077238.3818,-0.028405051300394245,-0.11637928774664662,-0.028357662112365883,0.021492679644387225,0.022966663849030906,0.029400703175808084,0.49564556954443856,0.10755827600409547,0.028539443848382598
2020-08-19,11956.69,12021.8,11592.2,11760.37,50094.06,590122894.96,18465427.294971,217160257196.95813,-0.016555549805096326,0.0037876522525906735,-0.01650883980320632,0.023231196370698565,0.023546752753146653,0.029650903309493125,0.07778365106227815,0.02494415694745814,0.008473999126743965
2020-08-20,11760.37,11888.72,11679.03,11863.43,43209.58,510502416.84,18466339.794971,219074129513.8528,0.00872515461649559,-0.1478402082630604,0.008774570069482821,0.02335445755162477,0.022970828654005602,0.029491097388934642,0.005291820901585502,-0.024762832074933506,-0.005404156355804434
2020-08-21,11863.43,11882.67,11494.52,11527.35,63548.27,745059089.73,18467308.544971,212879129155.87146,-0.028738086524755437,0.38573754468122234,-0.02868562758588722,0.02627958998071902,0.02014893598074947,0.030192195426707123,0.11800472407933381,-0.13107360946743699,0.023495027028863406
2020-08-22,11527.35,11686.02,11379.06,11670.42,49538.11,572197825.57,18468158.544971,215531166846.40045,0.012334962715755524,-0.24905750226124998,0.012380988937548246,0.01988043383272151,0.0198997452762874,0.03021063290805605,-0.2790565679815434,-0.012444550610917501,0.0006104840594340388
2020-08-23,11670.42,11713.62,11521.6,11651.52,33405.25,388308826.36,18469139.794971,215193551703.9005,-0.0016207917641046024,-0.3940291990853156,-0.00156766118637798,0.017300154361191835,0.018866820318830947,0.030147285825735722,-0.13902059948565185,-0.053302090846448935,-0.002099048705065106
